App Name,App Id,Category,Rating,Rating Count,Installs,Minimum Installs,Maximum Installs,Free,Price,Currency,Size,Minimum Android,Developer Id,Developer Website,Developer Email,Released,Last Updated,Content Rating,Privacy Policy,Ad Supported,In App Purchases,Editors Choice,Scraped Time
Readymade Grocery App,com.ionicfirebaseapp.readymadegroceryuserapp,Food & Drink,4.2,16,1000,1000,4313,TRUE,0,USD,12M,4.4 and up,pietechsolution,https://www.ionicfirebaseapp.com/products/readymade-grocery-online-store,info@ionicfirebaseapp.com,04/05/20,03/23/21,Everyone,https://www.ionicfirebaseapp.com/contact,FALSE,FALSE,FALSE,2021-06-15 20:19:36
OTENTIK Discovery FR,com.camineo.otentikdiscoveryDLFR,Travel & Local,3.4,5,500,500,949,TRUE,0,USD,2.9M,4.4 and up,Hotels Attitude,http://www.hotels-attitude.com,info@hotels-attitude.com,11/28/16,10/30/19,Everyone,http://camineo.com/w7WEW99wBsdTH2FuyOeTQACM6mcmH9Kf/CamineoPrivacy-v1.0.pdf,FALSE,FALSE,FALSE,2021-06-15 20:19:36
All in one shopping app,com.tkapplications.allinoneshoppingapp,Tools,5,6,50,50,62,TRUE,0,USD,2.0M,4.1 and up,TK Applications,,tkapplications001@gmail.com,04/24/19,05/05/19,Everyone,,FALSE,FALSE,FALSE,2021-06-15 20:19:36
REDMOND  Robot,com.grit.redmond,Lifestyle,3.7,328,10000,10000,31235,TRUE,0,USD,70M,4.1 and up,Grit Technology,,info@redmond.company,07/01/20,05/26/21,Everyone,https://redmond.company/upload/policy_redmond_robot_cleaner.pdf,FALSE,FALSE,FALSE,2021-06-15 20:19:36
Contemporary Love Wallpaper HD,com.felingdev.lowalpaper,Books & Reference,0,0,1,1,2,TRUE,0,XXX,11M,4.2 and up,Human Droid Apps,,farukabdillah4@gmail.com,12/26/20,03/23/21,Mature 17+,https://docs.google.com/document/d/1oK4CCJ6gbqyFI1eHtV78HzIpD9kkqW0nphZlkwBuGNc/edit?usp=sharing,TRUE,FALSE,FALSE,2021-06-15 20:19:36
Nepali Congress,np.com.NepaliCongress,Social,0,0,100,100,336,TRUE,0,USD,24M,5.0 and up,Nitya Shree Developers,https://nepalicongress.org,info@nepalicongress.org,05/31/21,05/31/21,Everyone,https://nepalicongress.org/page/privacy-policy,FALSE,FALSE,FALSE,2021-06-15 20:19:36
Bhavan's BHEL VIM,com.bhavans.vim,Medical,0,0,10,10,31,TRUE,0,USD,1.4M,4.0.3 and up,"Bhavans, BHEL, Hyderabad",http://www.bhavansbhelhyd.com/,cheboulu.uma@gmail.com,12/25/17,12/26/17,Everyone,,FALSE,FALSE,FALSE,2021-06-15 20:19:36
Block Fill: Puzzle Game,com.mailbeegames.casual.brain.line.block.puzzlegame,Puzzle,4.4,211,10000,10000,15471,TRUE,0,USD,16M,5.0 and up,MailBee Games,http://mailbeegames.net,mailbeegames@gmail.com,03/13/20,05/11/20,Everyone,http://www.addictinggames.com/legal/privacy-policy.jsp,TRUE,TRUE,FALSE,2021-06-15 20:19:36
Coloring Book Barbaie,com.bisgumah.barbie,Entertainment,3.8,736,500000,500000,646456,TRUE,0,USD,20M,5.0 and up,bisgumah,https://appsabsadstxt.blogspot.com/,bisgumah418@gmail.com,04/21/19,11/13/20,Everyone,https://docs.google.com/document/d/1kUDGpRA8fFBpy6x_L3tuC-C0po_ONPcSu1qRKVv3gNg/edit?usp=sharing,TRUE,FALSE,FALSE,2021-06-15 20:19:36
Random Number Generator,com.gary.randomnumber,Tools,4.2,35,10000,10000,21124,TRUE,0,USD,2.4M,5.0 and up,GaryG Apps,,garygapps@gmail.com,05/28/17,05/30/20,Everyone,,TRUE,FALSE,FALSE,2021-06-15 20:19:37
Sticky Ball,com.mitochondriastudios.stickyball,Arcade,4.6,11,100,100,152,TRUE,0,USD,25M,4.1 and up,Mitochondria Studios,,family@mitochondriastudios.com,03/05/18,03/26/18,Everyone,https://mitochondriastudios.com/privacypolicy/,TRUE,TRUE,FALSE,2021-06-15 20:19:37
CUBIC RUNNER,jp.ga_software.cubicrunner,Arcade,0,0,1000,1000,1068,TRUE,0,USD,16M,4.0 and up,GA software,http://ga-software.blogspot.jp/,gasoftwarejp@gmail.com,04/01/15,04/16/15,Everyone,,TRUE,TRUE,FALSE,2021-06-15 20:19:37
Dj Car Sound And Sound Effects 2019,com.melonappsvpn.dj_carsounds,Entertainment,0,0,100,100,396,TRUE,0,USD,21M,4.0.3 and up,TenSept Tools,,naveedgul802@gmail.com,05/17/19,05/17/19,Everyone,https://www.hamootech.com/privacy_policy.php,TRUE,FALSE,FALSE,2021-06-15 20:19:37
Schoolbus*,com.forumloft.schoolbus,Maps & Navigation,4.1,27,1000,1000,2414,TRUE,0,USD,11M,2.1 and up,Forumloft,http://forumloft.com,mail@forumloft.com,12/15/13,12/15/13,Everyone,http://forumloft.com/privacy_policy.html,FALSE,FALSE,FALSE,2021-06-15 20:19:37
Cambodian.Express,com.cambodia.ceapp,Auto & Vehicles,3.4,16,1000,1000,3784,TRUE,0,USD,6.2M,4.1 and up,CCIT.TMS,,heidi.lei@cambodianexpress.com,12/04/19,05/11/20,Everyone,https://www.cambodianexpress.com,FALSE,FALSE,FALSE,2021-06-15 20:19:37
Barnets Hair,com.phorest.barnetshair,Lifestyle,0,0,100,100,345,TRUE,0,USD,36M,5.0 and up,Phorest,,deploy@phorest.com,02/08/18,10/23/20,Everyone,https://zanadoo.me/pages/privacy,FALSE,FALSE,FALSE,2021-06-15 20:19:37
GaiaZOO,nl.haveaniceday.gaiazoo,Travel & Local,3.4,67,10000,10000,30921,TRUE,0,USD,7.6M,4.4 and up,Myler Media,http://www.gaiazoo.nl,info@GaiaZOO.nl,10/13/16,06/29/20,Everyone,https://www.gaiazoo.nl/privacy-verklaring/,FALSE,FALSE,FALSE,2021-06-15 20:19:37
Photo Brightness Editor - Image Brighten App,image.photo.brightness.editor,Photography,2.5,21,5000,5000,8984,TRUE,0,XXX,6.2M,4.4 and up,Anuoluwapo,https://spobam.com,bajiodunamis@gmail.com,11/13/20,11/14/20,Everyone,https://spobam.com/image-brightness-privacy-policy/,TRUE,FALSE,FALSE,2021-06-15 20:19:37
Creepy Story,com.creepypasta.club,Entertainment,0,0,10,10,22,TRUE,0,USD,6.1M,4.1 and up,AL Hidayah Corporation,,andizulmai@gmail.com,05/28/19,05/30/19,Teen,http://hidayah.club/creepystory_privacy_policy.html,TRUE,FALSE,FALSE,2021-06-15 20:19:37
Vancouver Bus Tracker,beyond.translinkbustracker,Maps & Navigation,2.3,420,50000,50000,74510,TRUE,0,USD,2.6M,4.0 and up,Beyond 2.0,http://www.Beyond20.ca,contact@bustracker.ca,11/06/13,06/06/17,Everyone,https://www.VancouverBusTracker.com/privacy.aspx,TRUE,FALSE,FALSE,2021-06-15 20:19:37
Serbia Audio Guide,apetra.tourguide,Travel & Local,3.7,143,10000,10000,43422,TRUE,0,USD,11M,4.1 and up,NTO Serbia,http://www.tos.org.rs,admin@serbia.travel,02/14/17,12/28/20,Everyone,http://www.tos.org.rs/tos.html,FALSE,FALSE,FALSE,2021-06-15 20:19:37
Head Lice guide,com.andromo.dev667101.app672597,Health & Fitness,2.1,33,10000,10000,19889,TRUE,0,USD,3.7M,4.1 and up,Free Apps For Everyone,https://w17cdeb7b.app-ads-txt.com/app-ads.txt,free.apps.for.everyone80@gmail.com,09/27/17,05/29/20,Everyone,https://sites.google.com/view/anna-lauret-privacy-policy/accueil,TRUE,FALSE,FALSE,2021-06-15 20:19:37
Calculus Tutorial 1: Introduction,com.RaySemiSoft.CalculusT1,Education,0,0,100,100,277,TRUE,0,USD,15M,4.1 and up,RaySemiSoft,,raysemisoft@gmail.com,06/18/20,06/01/21,Everyone,,FALSE,FALSE,FALSE,2021-06-15 20:19:37
Business Class Fitness,com.bhappdevelopment.samuelvankuren,Health & Fitness,0,0,1,1,2,TRUE,0,USD,10M,7.0 and up,BH App Development Ltd,,svankuren@businessclass.fitness,04/05/20,11/29/20,Everyone,https://www.ptdistinction.com/app_privacy_policy.php?uid=344789,FALSE,FALSE,FALSE,2021-06-15 20:19:37
"Sudan Flag Wallpaper: Flags, Country HD Images",com.techzit.sudanflagwallpaper,Personalization,0,0,100,100,468,TRUE,0,USD,8.9M,5.0 and up,TZLabs,https://toolsfairy.com,tzlabs4u@gmail.com,01/10/21,01/10/21,Teen,https://toolsfairy.com/privacy-policy.html,TRUE,FALSE,FALSE,2021-06-15 20:19:37
BuradaOto,com.rzmobile.buradaoto,Shopping,4.9,102,1000,1000,4103,TRUE,0,USD,3.9M,4.0.3 and up,Buradaoto,https://www.buradaoto.com/,Buradaoto@gmail.com,08/29/19,09/01/19,Everyone,https://www.buradaoto.com/gizlilik-politikasi-15,FALSE,FALSE,FALSE,2021-06-15 20:19:37
MoveNow User,com.movenowcustomer,Travel & Local,0,0,1,1,2,TRUE,0,USD,30M,4.1 and up,MoveNowApp,,MoveNowApp2020@gmail.com,02/21/21,03/04/21,Everyone,https://movenow-api.ondemandcreations.com/api/v1/admin/termsandconditions,FALSE,FALSE,FALSE,2021-06-15 20:19:37
Niagara Falls Wallpapers,com.niagara.wallpapers.backgrounds_0001,Personalization,5,11,500,500,825,TRUE,0,USD,21M,4.1 and up,Legend APPS,,legendapplication@gmail.com,05/30/20,05/30/20,Teen,,TRUE,FALSE,FALSE,2021-06-15 20:19:37
Extrude Balance,com.creatorsbureau.extrudebalance,Arcade,5,8,1000,1000,3427,TRUE,0,USD,26M,5.0 and up,Creators Bureau,,creatorsbureau@gmail.com,07/08/19,05/01/21,Everyone,https://unity3d.com/legal/privacy-policy,TRUE,TRUE,FALSE,2021-06-15 20:19:37
1-Click Hotspot,com.one.click.wifi.tethering.free,Tools,2.7,420,50000,50000,59427,TRUE,0,USD,4.9M,4.1 and up,Limonland Apps,https://uc294d7b9.app-ads-txt.com,enrasoftapps@gmail.com,06/28/13,01/14/20,Everyone,http://enrasoftapps.blogspot.com.es/2013/09/terms-and-conditions-of-use.html,TRUE,FALSE,FALSE,2021-06-15 20:19:37
Psychrometry Calculator,com.s3software.psychrometry,Tools,4.3,20,1000,1000,1396,TRUE,0,USD,4.3M,4.0.3 and up,MEPPEDIA,http://Meppedia.com,info@mepa2z.com,09/02/19,08/16/20,Everyone,,TRUE,FALSE,FALSE,2021-06-15 20:19:38
Bounce & Bubble,com.game.bouncebubble,Board,0,0,10,10,37,TRUE,0,USD,4.8M,2.2 and up,Kossta Tech Systems,http://www.kosstatech.com,ajishnair@kosstatech.com,07/15/16,07/18/16,Everyone,,TRUE,FALSE,FALSE,2021-06-15 20:19:38
Radio Louvor,hoostcomv2.francisco,Music & Audio,0,0,100,100,229,TRUE,0,USD,4.6M,5.0 and up,Hoost,,apps@hoost.com.br,02/12/20,02/11/21,Everyone,https://www.hoost.com.br/politica-de-privacidade-para-os-aplicativos-android-e-ios/,FALSE,FALSE,FALSE,2021-06-15 20:19:38
Peribahasa Bahasa Indonesia,com.andromo.dev298605.app412818,Books & Reference,3.8,13,1000,1000,1079,TRUE,0,USD,2.8M,4.1 and up,Irwana Studio,https://irwanastudio.com,irwankayen@gmail.com,06/19/15,04/22/20,Everyone,https://irwanastudio.blogspot.com/p/1.html,TRUE,FALSE,FALSE,2021-06-15 20:19:38
Bowling Paradise Pro FREE,com.innolab.BowlingParadiseProFREE,Sports,4.4,2781,100000,100000,340980,TRUE,0,USD,38M,2.1 and up,InnoLab,http://www.innolab-au.com,support@innolab-au.com,04/27/13,03/21/15,Everyone,,TRUE,TRUE,FALSE,2021-06-15 20:19:38
ACtrainingLanzarote,com.idnapps.actlanzarote,Sports,0,0,5,5,8,TRUE,0,USD,7.6M,4.4 and up,MaiTai Group,,info@actlanzarote.com,03/07/19,03/07/19,Everyone,http://panel.idnapps.com/application/privacypolicy?id=actlanzarote,FALSE,FALSE,FALSE,2021-06-15 20:19:38
Camelia Estetica & Solarium,com.igs.camelia,Beauty,0,0,500,500,647,TRUE,0,USD,5.1M,5.0 and up,I Grandi Soft,https://www.igrandisoft.it,info@igrandisoft.it,08/26/20,12/01/20,Everyone,https://sites.google.com/view/camelia-privacy-policy/,FALSE,FALSE,FALSE,2021-06-15 20:19:38
Kamesh Welding,com.vizyoner.kamesh,Business,0,0,10,10,17,TRUE,0,USD,8.9M,4.1 and up,Vizyoner Danışmanlık ve Ajans,https://www.kameshwelding.com,info@kameshwelding.com,06/21/18,07/02/18,Everyone,https://www.kameshwelding.com/gizlilikpolitikasi_tr.html,FALSE,FALSE,FALSE,2021-06-15 20:19:38
Coachman Training Systems,com.trainerize.coachmantrainingsystems,Health & Fitness,0,0,10,10,25,TRUE,0,USD,147M,6.0 and up,TRAINERIZE,https://coachmantrainingsystems.trainerize.com,help@trainerize.com,01/28/18,05/30/21,Everyone,http://www.trainerize.com/privacy.aspx,FALSE,FALSE,FALSE,2021-06-15 20:19:38
Chemistry Mission,academy.crow.chemistrymission,Educational,0,0,50,50,76,TRUE,0,USD,33M,4.4 and up,Crow Academy,https://crow.academy,pablo.triangle@gmail.com,06/26/20,06/26/20,Everyone,https://crow.academy/privacy-policy.html,TRUE,FALSE,FALSE,2021-06-15 20:19:38
VİOP,appinventor.ai_burcu199146.GCMVIOP,Finance,3.1,17,5000,5000,7119,TRUE,0,USD,3.7M,2.1 and up,Financial Developer,,synahmet10@gmail.com,07/05/17,04/11/20,Teen,,FALSE,FALSE,FALSE,2021-06-15 20:19:38
Video To Mp3 Converter & Audio-Video Cutter,com.wmp.videotomp3converter.songvideocutter.audiovideocutter,Tools,3.8,31,10000,10000,13524,TRUE,0,USD,38M,4.4 and up,Gatto Creations,https://waytomodernapps.blogspot.com/,waytomoderna000@gmail.com,07/03/19,09/06/19,Everyone,https://waytomodernapps.blogspot.com/2019/06/way-to-modern-apps.html,TRUE,FALSE,FALSE,2021-06-15 20:19:38
Dua e Nudba - Offline,com.glowingapps.husbandwiferights,Books & Reference,4.7,30,10000,10000,10958,TRUE,0,USD,16M,4.1 and up,5tan Library,,glowingappss@gmail.com,06/15/17,07/24/20,Everyone,https://5tan-library.flycricket.io/privacy.html,TRUE,FALSE,FALSE,2021-06-15 20:19:38
shyftfly,shyftfly.com.shyftfly,Business,0,0,100,100,182,TRUE,0,USD,12M,4.4 and up,Symphony Software,http://www.symphony-software.com,rohit@symphony-software.com,02/15/18,10/22/20,Everyone,https://shyftfly.com/,FALSE,FALSE,FALSE,2021-06-15 20:19:38
physical fitness exercise,com.IkhfaStudio.latihankebugaranjasmani,Health & Fitness,0,0,1000,1000,1026,TRUE,0,USD,2.2M,2.3 and up,IkhfaStudio,,nemomanx@gmail.com,01/27/18,01/27/18,Everyone,,TRUE,FALSE,FALSE,2021-06-15 20:19:39
PowerSwitch,eu.power_switch,Lifestyle,4.3,266,10000,10000,43836,TRUE,0,USD,7.1M,4.0 and up,Markus Ressel,http://power-switch.eu,contact@power-switch.eu,10/24/15,04/16/16,Everyone,https://github.com/Power-Switch/PowerSwitch_Android/blob/master/PRIVACY_POLICY.md,FALSE,TRUE,FALSE,2021-06-15 20:19:39
Learn Electrical Engineering,com.quizmine.electricalengineering,Books & Reference,4.1,337,100000,100000,107229,TRUE,0,USD,24M,4.0.3 and up,SuperSimpleVideo,http://www.GoLearningBus.com,Team@simpleNeasyApp.com,04/14/12,05/16/20,Everyone,http://golearningbus.com/tou.html,TRUE,TRUE,FALSE,2021-06-15 20:19:39
Radio Estado de Mexico - FM Stations Free,com.radioestadodemexicoestacionesgratis.radioestadodemexico,Music & Audio,4.7,12,500,500,682,TRUE,0,USD,11M,4.2 and up,"Radio.app: FM AM Radio Stations, Music and News",https://radio-app-fm-stations.blogspot.com,radio.stations.new@gmail.com,09/10/18,03/28/19,Teen,http://tappller.com/radio-station-free-new/privacy_policy.php,TRUE,FALSE,FALSE,2021-06-15 20:19:39
op.se,se.mittmedia.blackcap.op,News & Magazines,3.1,84,10000,10000,27270,TRUE,0,USD,27M,4.1 and up,Bonnier News Local AB,https://www.op.se/app,digitalsupport@mittmedia.se,11/23/15,12/21/20,Everyone,https://www.op.se/info/mittmedias-personuppgiftspolicy,TRUE,FALSE,FALSE,2021-06-15 20:19:39
Racepak D3 Racing,com.racepak.vantage,Auto & Vehicles,3.7,6,500,500,784,TRUE,0,USD,18M,4.3 and up,Racepak,http://www.racepak.com,support@racepak.com,08/16/17,11/14/19,Everyone,https://www.iubenda.com/privacy-policy/85879598,FALSE,FALSE,FALSE,2021-06-15 20:19:39
Maulid AL BARZANJI,com.albarzanji.maulidalbarzanji,Books & Reference,0,0,500,500,639,TRUE,0,USD,10M,2.3 and up,DJANOKO STUDIO,https://djanokostudio.blogspot.com/ads.txt,qurotuluyun75@gmail.com,10/06/19,10/07/19,Everyone,https://docs.google.com/document/d/1I2g1LT63SarTEQt0wOjlxMZIofrl-lM59ggbVHEZXXo/edit?usp=sharing,TRUE,FALSE,FALSE,2021-06-15 20:19:39
ChurchManagement (PLMT),fr.ekbz.churchManager,Productivity,0,0,10,10,21,TRUE,0,USD,7.7M,5.0 and up,KBZ Production,,ekombrza@gmail.com,,05/03/20,Everyone,,FALSE,FALSE,FALSE,2021-06-15 20:19:39
RACE ACADEMY,co.davos.snqkw,Education,0,0,100,100,186,TRUE,0,XXX,32M,4.2 and up,Education Mine Media,,support@classplus.co,01/09/21,05/18/21,Everyone,https://bit.ly/2YDTip0,FALSE,FALSE,FALSE,2021-06-15 20:19:39
Pick Lock,com.BlueDrop.PickLock,Arcade,0,0,50,50,79,TRUE,0,USD,19M,4.1 and up,Blue Drop Games,,bluedropgame@gmail.com,05/13/20,05/13/20,Everyone,,FALSE,FALSE,FALSE,2021-06-15 20:19:39
Coffin Move,com.RehaStudio.CoffinMove,Casual,4.9,8,100,100,205,TRUE,0,USD,39M,5.0 and up,Reha Studio,,rehagamestudio@gmail.com,05/14/21,05/24/21,Everyone,https://rehayazilim.blogspot.com/p/privacy-policy-coffin-move.html,TRUE,FALSE,FALSE,2021-06-15 20:19:39
Jenifa spells 2,com.jenifaspells2.game,Puzzle,0,0,500,500,654,TRUE,0,USD,31M,4.1 and up,bellotech solutions,http://www.jenifasgames.com,bellotechsolutions@gmail.com,02/13/20,02/17/20,Everyone,https://jenifasgames.com/privacy_policy.php,TRUE,TRUE,FALSE,2021-06-15 20:19:39
Flashlight,com.ufukbagci.myflashlight,Productivity,4.3,6,100,100,207,TRUE,0,USD,1.2M,2.3 and up,Ufuk Mobil Uygulama Atölyesi,http://ufukbagci.com,ufkbagci@gmail.com,02/07/17,02/08/17,Everyone,http://blog.goodbarber.com/docs/Privacypolicy/PrivacyPolicy.pdf,FALSE,FALSE,FALSE,2021-06-15 20:19:39
Triple Point Academy,co.varys.sinbd,Education,5,5,10,10,18,TRUE,0,USD,38M,4.2 and up,Education Hive Media,,support@classplus.co,10/15/20,06/13/21,Everyone,https://bit.ly/33pSGFX,FALSE,FALSE,FALSE,2021-06-15 20:19:39
前橋 ハンドネイルケアエステサロン tekara 公式アプリ,net.e_motto.t9kar6q,Lifestyle,0,0,10,10,36,TRUE,0,USD,3.1M,4.0 and up,イーモット開発,http://www.e-motto.net/lp,emottodeveloper@gmail.com,11/12/17,09/19/19,Everyone,http://apas.jp/privacy.html,FALSE,FALSE,FALSE,2021-06-15 20:19:39
ApkExtractor,com.dailyapptech.apkextractor,Tools,0,0,1000,1000,2686,TRUE,0,USD,3.2M,4.1 and up,DailyAppTech,,dailyapptech@gmail.com,10/28/18,02/22/20,Everyone,https://lokeshjoshiapp.blogspot.com/2018/10/privacy-policy.html,TRUE,FALSE,FALSE,2021-06-15 20:19:40
The Battle at the Alamo 3D Viewer,com.HSS.TheBattleAtTheAlamo3DViewerv1,Education,0,0,100,100,163,TRUE,0,USD,42M,4.4 and up,High Score Studios,http://www.highscorestudios.com,info@highscorestudios.com,09/20/19,02/29/20,Everyone 10+,http://www.highscorestudios.com/thebattleatthealamo3dviewer/privacypolicy.html,FALSE,FALSE,FALSE,2021-06-15 20:19:40
"Flyers, Posters, Banner, Graphic Maker, Designs",postermakerart.flyerdesign.flyermaker.postermakerart,Art & Design,3.9,9,500,500,787,TRUE,0,USD,22M,4.1 and up,Black Art Tech Solutions,https://f60de654b.app-ads-txt.com,yaanasolutions602@gmail.com,11/08/20,11/08/20,Everyone,https://yaanacreations.blogspot.com/p/privacy-policy-black-art-tech-solutions.html,TRUE,FALSE,FALSE,2021-06-15 20:19:40
경조사 노트 - 치부책,hs.app.event,Finance,4.8,2663,10000,10000,49190,TRUE,0,USD,4.1M,7.0 and up,HS App,,devwlstn@gmail.com,05/03/16,04/16/21,Everyone,http://blog.naver.com/ringoai0923/220777107423,TRUE,FALSE,FALSE,2021-06-15 20:19:40
Scale Hero,com.games.scalehero,Arcade,3.3,7,5000,5000,5554,TRUE,0,USD,50M,5.1 and up,Sifo-Dyas,,info@sifodyasgames.com,03/19/21,03/19/21,Everyone,https://sifodyasgames.com/policy,TRUE,FALSE,FALSE,2021-06-15 20:19:40
Trevor Sorbie,com.thegroomingcompany.tsorbie,Beauty,0,0,50,50,95,TRUE,0,USD,5.5M,5.0 and up,The Grooming Company LLC,https://trevorsorbie.com/,hello@trevorsorbie.com,12/13/20,04/15/21,Everyone,http://www.tgcapps.com/trevorsorbie/docs/privacy.php,FALSE,FALSE,FALSE,2021-06-15 20:19:40
Köln Zeitungen,com.koeln.zeitungen,News & Magazines,0,0,10,10,32,TRUE,0,USD,15M,4.2 and up,Alles Web.eu,https://www.allesweb.eu/,info@allesweb.eu,06/01/18,10/09/18,Everyone,https://www.allesweb.eu/erklaerung-zum-datenschutz.html,TRUE,FALSE,FALSE,2021-06-15 20:19:40
San Vito Lo Capo,svitolocapo.it,Travel & Local,4.9,7,1000,1000,1391,TRUE,0,USD,127k,,wwwinternet.it,http://wwwinternet.it,wapumts@gmail.com,04/30/14,03/12/19,Everyone,,FALSE,FALSE,FALSE,2021-06-15 20:19:40
عون | Awon,com.excprotection.ircmobile,House & Home,2.7,205,50000,50000,53898,TRUE,0,USD,8.4M,4.4 and up,Excellent Protection,https://own.irc.sa/,awon.crm@irc.sa,01/07/19,06/15/21,Everyone,http://www.mediafire.com/file/gwwzoywys6b0tqz/IRC_privacy_policy.html/file,FALSE,FALSE,FALSE,2021-06-15 20:19:40
